City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
326,dudinka,56,RU,1547424002,69,69.41,86.18,-9.76,27.25
327,dwarka,0,IN,1547422200,87,28.58,77.04,50.0,4.7
328,jalu,0,LY,1547423861,82,29.03,21.55,40.69,5.21
329,goch,40,DE,1547421900,75,51.68,6.16,46.4,12.75
330,necochea,76,AR,1547424207,93,-38.55,-58.74,65.8,12.82
331,grand gaube,40,MU,1547420400,74,-20.01,57.66,78.8,6.93
332,huarmey,8,PE,1547423769,73,-10.07,-78.15,70.8,4.21
333,taunsa,0,PK,1547424208,97,30.7,70.65,46.27,5.77
334,ballina,76,IE,1547424208,88,54.11,-9.15,46.0,13.94
335,baillif,40,GP,1547422200,78,16.02,-61.75,75.2,2.24
336,durban,75,FR,1547422200,81,43.54,0.58,48.2,11.41
337,igarka,76,RU,1547424209,70,67.47,86.57,-9.98,21.88
338,port lincoln,20,AU,1547423784,73,-34.72,135.86,74.8,9.69
339,hobyo,80,SO,1547424210,81,5.35,48.53,75.7,16.28
340,caxito,0,BR,1547424210,71,-22.65,-42.51,76.96,14.05
341,akhaldaba,0,GE,1547422200,55,41.68,44.66,39.2,14.99
342,kaeo,32,NZ,1547424211,94,-35.1,173.78,64.5,13.04
343,yar-sale,64,RU,1547423665,83,66.83,70.83,11.26,13.71
344,peshkovo,75,RU,1547422200,85,47.02,39.39,23.0,3.2
345,gremyachinsk,80,RU,1547424211,86,58.57,57.83,15.9,10.8
346,aksha,0,RU,1547424034,45,50.28,113.29,-8.54,15.28
347,saint-pierre,90,FR,1547422200,93,48.95,4.24,48.2,18.34
348,port hardy,75,CA,1547420400,87,50.7,-127.42,48.2,3.36
349,kastornoye,80,RU,1547424035,92,51.83,38.13,23.32,14.16
350,saint-joseph,0,FR,1547422200,93,43.56,6.97,55.4,5.82
351,hokitika,24,NZ,1547424214,88,-42.72,170.96,62.07,9.46
352,birjand,0,IR,1547420400,24,32.86,59.22,42.8,4.7
353,tabory,92,PL,1547424214,96,53.89,19.53,36.33,14.16
354,emerald,75,AU,1547420400,48,-23.53,148.16,82.4,14.99
355,santa cruz,1,US,1547421600,51,36.97,-122.03,62.96,9.17
356,psygansu,90,RU,1547420400,86,43.42,43.79,33.8,1.41
357,channel-port aux basques,32,CA,1547424216,100,47.57,-59.14,28.54,21.54
358,zambezi,92,ZM,1547424216,99,-13.55,23.12,65.13,11.7
359,khagaria,0,IN,1547424154,82,25.51,86.48,47.8,4.99
360,torbay,90,CA,1547421060,79,47.66,-52.73,24.8,18.34
361,nyimba,88,ZM,1547424217,93,-14.56,30.81,72.15,5.99
362,siguiri,32,GN,1547423791,35,11.42,-9.17,73.81,9.01
363,paita,0,PE,1547424218,60,-5.09,-81.11,78.18,10.47
364,pizarro,76,CO,1547424218,100,4.95,-77.37,77.32,1.63
365,shizilu,88,CN,1547424219,97,21.7,109.38,64.72,11.25
366,chicama,0,PE,1547420400,83,-7.84,-79.15,73.4,12.75
367,ocosingo,100,MX,1547424219,60,16.91,-92.09,68.23,2.42
368,great yarmouth,36,GB,1547421600,81,52.61,1.73,44.6,17.22
369,praya,40,ID,1547422200,88,-8.71,116.27,80.6,2.24
370,verkhnevilyuysk,24,RU,1547424220,34,63.45,120.31,-23.12,6.78
371,korhogo,0,CI,1547424220,51,9.46,-5.63,67.42,3.76
372,fukue,20,JP,1547422200,100,35.03,136.69,42.8,8.05
373,tatarsk,64,RU,1547424221,82,55.22,75.96,11.85,14.27
374,awbari,0,LY,1547424221,73,26.59,12.77,27.55,3.31
375,novoleushkovskaya,76,RU,1547424221,87,45.99,39.99,21.34,3.09
376,port hedland,0,AU,1547422200,66,-20.31,118.58,89.6,26.4
377,floro,80,NO,1547421600,100,61.6,5.03,32.0,29.97
378,vila velha,75,BR,1547420400,88,-3.71,-38.6,80.6,3.36
379,misratah,44,LY,1547424223,100,32.38,15.09,54.15,25.01
